"Indicator","Age Group","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"BMI ? 30 (age-standardized estimate)","20+","","Male","2008","Africa","5.3 [4.4-6.3]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Male","2008","Americas","23.5 [21.9-25.3]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Male","2008","Eastern Mediterranean","13.0 [11.5-14.7]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Male","2008","Europe","20.4 [18.8-22.1]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Male","2008","South-East Asia","1.7 [1.3-2.2]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Male","2008","Western Pacific","5.1 [4.1-6.1]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Male","2008","Global","10.0 [9.4-10.6]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Female","2008","Africa","11.1 [10.1-12.1]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Female","2008","Americas","29.7 [27.7-31.7]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Female","2008","Eastern Mediterranean","24.5 [22.3-27.1]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Female","2008","Europe","23.1 [21.3-25.0]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Female","2008","South-East Asia","3.7 [3.0-4.6]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Female","2008","Western Pacific","6.8 [5.1-8.5]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Female","2008","Global","14.0 [13.3-14.9]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Both sexes","2008","Africa","8.3 [7.6-9.0]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Both sexes","2008","Americas","26.7 [25.4-28.0]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Both sexes","2008","Eastern Mediterranean","18.7 [17.3-20.2]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Both sexes","2008","Europe","21.9 [20.7-23.2]","","","",""
"BMI ? 30 (age-standardized estimate)","20+","","Both sexes","2008","South-East Asia","2.7 [2.3-3.2]","","","",""
